time,target,measured,raw,action,error,controller,PID.Kp,PID.Ki,PID.Kd,TBH.gain,TBH.approx,allow-readify
1954.8785,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1954.8785,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1954.8785,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1954.8785,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.0786,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.0786,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.2786,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.2786,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.2786,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.2786,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.4786,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.4786,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.6787,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.6787,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.6787,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.6787,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.8787,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
1955.8787,0.0,-0.0,0.0,8.039141,-0.0,TBH,-0.1,-0.2,0.0,-0.09,0.0,1.0
