time,target,measured,raw,action,error,controller,PID.Kp,PID.Ki,PID.Kd,TBH.gain,TBH.approx,allow-readify
2461.0986,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2461.2986,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2461.2986,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2461.4985,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2461.4985,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2461.4985,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2461.6985,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2461.6985,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2461.8987,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2461.8987,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2461.8987,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.0986,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.0986,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.2986,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.2986,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.2986,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.4985,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.4985,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.4985,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.6987,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.6987,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.6987,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.6987,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.6987,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2462.8987,0.0,0.0,0.0,12.155967,0.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.1187,500.0,0.0,0.0,15.15614,-500.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.1987,500.0,0.0,0.0,17.156013,-500.0,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.2786,500.0,4.166667,41.662502,19.151846,-495.83334,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.3586,500.0,6.900417,41.662502,21.13478,-493.09958,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.3586,500.0,6.900417,41.662502,21.13478,-493.09958,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.4385,500.0,12.443989,41.662502,23.10134,-487.556,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.5188,500.0,15.288998,0.0,25.043736,-484.711,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.5986,500.0,23.231245,0.0,26.948427,-476.76877,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.6787,500.0,39.733067,41.658337,28.805328,-460.26694,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.7585,500.0,54.727264,83.325005,30.606892,-445.27274,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.7585,500.0,54.727264,83.325005,30.606892,-445.27274,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.8386,500.0,75.51876,124.9875,32.335682,-424.48123,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.9187,500.0,97.03695,166.60837,33.9878,-402.96304,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2463.9988,500.0,117.946465,166.65001,35.550865,-382.05353,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.0786,500.0,142.24252,208.31252,37.01953,-357.75748,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.1587,500.0,169.47476,249.975,38.38962,-330.52524,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.1587,500.0,169.47476,249.975,38.38962,-330.52524,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.2385,500.0,197.54172,249.975,39.642223,-302.45828,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.3186,500.0,226.53006,291.56464,40.778244,-273.46994,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.3186,500.0,226.53006,291.56464,40.778244,-273.46994,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.3987,500.0,252.68384,291.6375,41.80517,-247.31616,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.4788,500.0,283.45578,333.30002,42.707115,-216.54422,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.5586,500.0,311.89935,374.9625,43.504776,-188.10065,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.5586,500.0,311.89935,374.9625,43.504776,-188.10065,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.6387,500.0,341.1403,416.62503,44.184612,-158.85971,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.7185,500.0,367.85834,458.17297,44.75853,-132.14166,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.7988,500.0,399.35312,458.2875,45.20853,-100.64688,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.8787,500.0,426.7601,458.2875,45.538525,-73.2399,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.8787,500.0,426.7601,458.2875,45.538525,-73.2399,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2464.9587,500.0,456.0709,499.95,45.76066,-43.929108,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.0386,500.0,481.75586,541.61255,45.86682,-18.24414,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.1187,500.0,509.46747,541.45013,30.256432,9.467468,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.1985,500.0,508.0922,458.2875,30.20224,8.092194,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.1985,500.0,508.0922,458.2875,30.20224,8.092194,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.2788,500.0,538.0118,541.61255,30.096518,38.01178,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.3586,500.0,558.91705,541.61255,29.867998,58.917053,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.3586,500.0,558.91705,541.61255,29.867998,58.917053,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.4387,500.0,563.8998,583.275,29.621176,63.89978,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.5186,500.0,570.56433,583.1001,29.347975,70.56433,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.5186,500.0,570.56433,583.1001,29.347975,70.56433,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.5986,500.0,571.208,583.18756,29.062027,71.20801,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.6787,500.0,563.6686,499.90002,28.785816,63.66858,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.7588,500.0,557.9464,583.275,28.567598,57.94641,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.8386,500.0,576.50024,583.275,28.276253,76.500244,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.8386,500.0,576.50024,583.275,28.276253,76.500244,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.9187,500.0,573.955,541.4772,27.961805,73.95502,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2465.9985,500.0,572.68494,541.61255,27.658585,72.68494,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.0786,500.0,571.4668,541.66675,27.355955,71.4668,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.1587,500.0,569.13367,583.275,27.084957,69.13367,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.2388,500.0,545.35724,499.95,26.870968,45.35724,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.3186,500.0,551.27704,583.1293,26.67437,51.27704,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.3987,500.0,569.8513,624.93756,26.424746,69.85132,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.4785,500.0,567.36127,583.275,26.152336,67.36127,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.4785,500.0,567.36127,583.275,26.152336,67.36127,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.5588,500.0,558.89844,541.61255,25.909504,58.898438,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.5588,500.0,558.89844,541.61255,25.909504,58.898438,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.6387,500.0,535.1751,333.30002,25.695995,35.17511,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.6387,500.0,535.1751,333.30002,25.695995,35.17511,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.7188,500.0,530.9782,541.45013,25.575039,30.97821,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.7986,500.0,528.25165,541.61255,25.467014,28.251648,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.7986,500.0,528.25165,541.61255,25.467014,28.251648,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.8787,500.0,541.076,541.61255,25.332434,41.07599,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2466.9585,500.0,537.52765,541.61255,25.1755,37.52765,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.0388,500.0,528.3705,499.95,25.051418,28.370483,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.0388,500.0,528.3705,499.95,25.051418,28.370483,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.1187,500.0,520.1012,541.45013,24.977142,20.101196,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.1987,500.0,512.4067,458.2875,24.907742,12.406677,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.2786,500.0,505.18042,541.61255,24.884373,5.18042,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.3586,500.0,486.8227,499.95,27.616419,-13.177307,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.4385,500.0,507.603,624.93756,27.606873,7.602997,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.4385,500.0,507.603,624.93756,27.606873,7.602997,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.5188,500.0,504.97433,499.8251,27.58334,4.974335,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.5986,500.0,496.4841,499.95,27.600262,-3.5159,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.6787,500.0,482.2287,416.58337,27.63868,-17.771301,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.7585,500.0,494.75482,499.95,27.668034,-5.245178,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.8386,500.0,489.05737,499.95,27.70009,-10.942627,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.9187,500.0,478.39883,416.5209,27.770956,-21.601166,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.9988,500.0,465.84756,499.95,27.907867,-34.152435,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2467.9988,500.0,465.84756,499.95,27.907867,-34.152435,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.0786,500.0,482.1329,541.61255,28.012768,-17.867096,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.1587,500.0,487.48434,458.2875,28.06093,-12.515656,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.2385,500.0,481.24976,499.95,28.12982,-18.750244,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.2385,500.0,481.24976,499.95,28.12982,-18.750244,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.3186,500.0,476.73294,458.1959,28.214268,-23.26706,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.3987,500.0,481.70264,499.95,28.30056,-18.297363,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.3987,500.0,481.70264,499.95,28.30056,-18.297363,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.4788,500.0,473.24796,416.62503,28.391136,-26.752045,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.5586,500.0,474.53,458.2875,28.486008,-25.470001,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.5586,500.0,474.53,458.2875,28.486008,-25.470001,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.6387,500.0,462.17133,458.2875,28.624779,-37.828674,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.7185,500.0,478.91776,499.8251,28.733955,-21.082245,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.7988,500.0,478.9712,458.2875,28.817642,-21.028809,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.7988,500.0,478.9712,458.2875,28.817642,-21.028809,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.8787,500.0,475.24756,458.2875,28.909128,-24.752441,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2468.9587,500.0,476.63367,499.95,29.004936,-23.366333,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.0386,500.0,477.54306,499.95,29.096453,-22.45694,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.1187,500.0,478.13022,499.85007,29.185171,-21.869781,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.1985,500.0,478.86945,499.95,29.275059,-21.130554,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.2788,500.0,473.01425,541.61255,29.389027,-26.985748,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.3586,500.0,478.12665,458.2875,29.476706,-21.873352,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.4387,500.0,482.27258,499.95,29.555685,-17.727417,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.4387,500.0,482.27258,499.95,29.555685,-17.727417,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.5186,500.0,478.11407,458.17297,29.643383,-21.885925,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.5986,500.0,474.3564,458.2875,29.73444,-25.643585,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.6787,500.0,479.0024,458.24167,29.81797,-20.99759,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.7588,500.0,475.27148,458.2875,29.909342,-24.728516,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
2469.7588,500.0,475.27148,458.2875,29.909342,-24.728516,TBH,-0.1,-0.2,0.0,-0.05,0.0,1.0
