time,target,measured,raw,action,error,controller,PID.Kp,PID.Ki,PID.Kd,TBH.gain,TBH.approx,allow-readify
2223.3586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2223.3586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2223.5586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2223.5586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2223.7585,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2223.7585,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2223.7585,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2223.7585,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2223.9585,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2223.9585,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2223.9585,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.1587,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.1587,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.1587,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.3586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.3586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.5586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.5586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.5586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.5586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.7585,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.7585,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.9587,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.9587,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.9587,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2224.9587,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.1587,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.1587,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.3586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.3586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.3586,0.0,0.0,0.0,10.55384,0.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.5986,500.0,0.0,0.0,16.148018,-500.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.6787,500.0,0.0,0.0,19.348095,-500.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.7588,500.0,0.0,0.0,22.548012,-500.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.7588,500.0,0.0,0.0,22.548012,-500.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.8386,500.0,0.0,0.0,25.74801,-500.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.9187,500.0,0.0,0.0,28.948008,-500.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.9187,500.0,0.0,0.0,28.948008,-500.0,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2225.9985,500.0,7.916625,41.662502,32.12867,-492.08337,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2226.0786,500.0,33.852203,83.325005,35.168808,-466.1478,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2226.1587,500.0,64.44339,83.325005,38.009323,-435.5566,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2226.2388,500.0,103.764565,208.31252,40.642216,-396.23544,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2226.3186,500.0,140.1002,208.31252,43.032116,-359.89978,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2226.3987,500.0,174.85661,249.975,45.199276,-325.14337,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2226.4785,500.0,215.44351,333.30002,47.117065,-284.5565,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2226.4785,500.0,215.44351,333.30002,47.117065,-284.5565,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2226.5588,500.0,255.98492,333.30002,48.767532,-244.01508,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2226.6387,500.0,298.04324,416.62503,50.17317,-201.95676,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
2226.7188,500.0,339.5496,416.62503,51.304195,-160.45041,TBH,-0.1,-0.2,0.0,-0.08,0.0,1.0
